Monat,Personen
2003-01-20,195182
2003-02-20,227489
2003-03-20,244340
2003-04-20,242186
2003-05-20,224507
2003-06-20,221850
2003-07-20,196443
2003-08-20,149781
2003-09-20,168830
2003-10-20,163039
2003-11-20,161774
2003-12-20,149034
2004-01-20,163951
2004-02-20,186268
2004-03-20,196610
2004-04-20,176762
2004-05-20,170901
2004-06-20,162419
2004-07-20,137693
2004-08-20,107242
2004-09-20,114751
2004-10-20,125318
2004-11-20,132573
2004-12-20,132633
2005-01-20,148399
2005-02-20,167993
2005-03-20,173776
2005-04-20,158872
2005-05-20,141953
2005-06-20,136701
2005-07-20,108564
2005-08-20,89446
2005-09-20,96188
2005-10-20,102419
2005-11-20,98021
2005-12-20,83732
2006-01-20,96113
2006-02-20,100742
2006-03-20,104829
2006-04-20,83259
2006-05-20,72048
2006-06-20,61528
2006-07-20,53932
2006-08-20,47935
2006-09-20,45979
2006-10-20,38833
2006-11-20,35519
2006-12-20,63049
2007-01-20,91266
2007-02-20,40291
2007-03-20,26990
2007-04-20,25913
2007-05-20,17149
2007-06-20,16369
2007-07-20,15763
2007-08-20,10251
2007-09-20,12368
2007-10-20,14922
2007-11-20,39100
2007-12-20,101537
2008-01-20,82331
2008-02-20,39155
2008-03-20,23477
2008-04-20,33324
2008-05-20,17680
2008-06-20,19394
2008-07-20,16906
2008-08-20,13532
2008-09-20,27034
2008-10-20,57237
2008-11-20,164375
2008-12-20,403989
2009-01-20,345990
2009-02-20,721202
2009-03-20,679013
2009-04-20,451650
2009-05-20,291553
2009-06-20,210093
2009-07-20,170141
2009-08-20,105023
2009-09-20,117660
2009-10-20,101783
2009-11-20,152030
2009-12-20,225873
2010-01-20,129634
2010-02-20,96458
2010-03-20,67311
2010-04-20,55566
2010-05-20,37018
2010-06-20,32172
2010-07-20,29586
2010-08-20,29378
2010-09-20,30747
2010-10-20,45396
2010-11-20,94316
2010-12-20,157082
2011-01-20,68184
2011-02-20,39130
2011-03-20,39468
2011-04-20,30666
2011-05-20,27542
2011-06-20,17753
2011-07-20,15920
2011-08-20,17408
2011-09-20,23504
2011-10-20,37471
2011-11-20,67302
2011-12-20,128293
2012-01-20,64114
2012-02-20,46820
2012-03-20,35480
2012-04-20,27090
2012-05-20,27651
2012-06-20,22292
2012-07-20,17306
2012-08-20,24245
2012-09-20,46576
2012-10-20,50599
2012-11-20,88124
2012-12-20,125568
2013-01-20,89057
2013-02-20,54843
2013-03-20,42622
2013-04-20,45112
2013-05-20,28788
2013-06-20,46076
2013-07-20,35075
2013-08-20,16303
2013-09-20,29521
2013-10-20,32486
2013-11-20,70755
2013-12-20,97595
2014-01-20,72702
2014-02-20,40280
2014-03-20,31697
2014-04-20,39412
2014-05-20,23048
2014-06-20,17717
2014-07-20,16178
2014-08-20,13198
2014-09-20,23697
2014-10-20,31420
2014-11-20,75328
2014-12-20,108715
2015-01-20,50798
2015-02-20,32303
2015-03-20,26620
2015-04-20,29272
2015-05-20,17105
2015-06-20,17262
2015-07-20,14746
2015-08-20,11752
2015-09-20,25270
2015-10-20,32387
2015-11-20,75871
2015-12-20,107475
2016-01-20,47774
2016-02-20,32910
2016-03-20,22671
2016-04-20,25491
2016-05-20,17351
2016-06-20,15625
2016-07-20,12892
2016-08-20,21705
2016-09-20,20712
2016-10-20,18621
2016-11-20,19046
2016-12-20,16963
2017-01-20,22689
2017-02-20,15098
2017-03-20,12790
2017-04-20,14315
2017-05-20,12537
2017-06-20,9096
2017-07-20,8744
2017-08-20,8464
2017-09-20,6735
2017-10-20,8021
2017-11-20,7766
2017-12-20,18799
2018-01-20,10223
2018-02-20,8587
2018-03-20,8830
2018-04-20,7372
2018-05-20,7399
2018-06-20,6359
2018-07-20,23822
2018-08-20,14986
2018-09-20,12917
2018-10-20,14578
2018-11-20,13846
2018-12-20,15908
2019-01-20,14638
2019-02-20,16250
2019-03-20,17456
2019-04-20,25334
2019-05-20,24022
2019-06-20,17336
2019-07-20,26655
2019-08-20,26525
2019-09-20,57176
2019-10-20,50748
2019-11-20,49564
2019-12-20,47809
2020-01-20,45115
2020-02-20,42206
2020-03-20,2639866
2020-04-20,7503351
